1.251091	 -1.275419	 2 
-1.619039	 1.898733	 3 
1.658709	 -2.001107	 2 
0.259588	 1.826897	 3 
0.897436	 0.283383	 3 
2.738693	 -0.580251	 2 
2.981525	 -1.100014	 2 
-0.297284	 0.763689	 3 
2.652103	 -1.164378	 2 
2.989104	 3.680686	 1 
3.033118	 1.474408	 3 
2.723903	 1.267454	 2 
3.585232	 3.219216	 1 
1.263051	 2.628395	 1 
3.127732	 2.728479	 1 
-0.658121	 2.777385	 3 
0.738909	 -0.323197	 2 
-1.675650	 1.414598	 3 
1.141907	 3.464475	 1 
0.498220	 5.003598	 3 
3.123814	 3.332485	 1 
-0.344789	 0.571775	 3 
0.048396	 3.390556	 3 
3.247210	 2.683724	 1 
0.754935	 1.770762	 3 
1.296058	 -0.430815	 1 
0.274472	 2.066043	 3 
2.576507	 0.370272	 2 
2.521675	 -0.704567	 2 
4.416777	 -1.761258	 2 
2.857351	 2.979972	 1 
0.393150	 -0.655973	 2 
1.073346	 2.609747	 3 
-1.767960	 2.662524	 3 
-0.465336	 4.255137	 3 
1.077861	 -0.742546	 2 
-0.397570	 3.509581	 3 
3.038602	 0.830565	 2 
-0.526961	 -0.047399	 3 
-1.747603	 3.877156	 3 
2.547210	 -1.269853	 2 
-0.097054	 2.673005	 3 
2.726481	 5.659909	 1 
3.762074	 3.793668	 1 
1.849465	 2.477140	 1 
1.939588	 -1.226847	 3 
3.296377	 2.392793	 1 
3.597763	 0.583874	 2 
1.954117	 -0.406607	 2 
3.855686	 -0.377625	 2 
-0.458042	 4.035243	 3 
0.219459	 5.805009	 3 
1.162105	 0.427897	 2 
0.292572	 1.330251	 3 
2.210697	 1.449923	 2 
4.862077	 4.602242	 1 
4.288977	 1.748596	 1 
1.830363	 -0.058442	 2 
-0.070722	 4.262367	 3 
-0.044071	 -0.875381	 3 
2.317486	 -1.037697	 2 
-0.038246	 2.856964	 3 
5.261005	 2.713225	 1 
0.140259	 0.668652	 3 
4.401441	 -0.520734	 2 
3.986696	 1.725445	 1 
-0.829251	 0.423962	 3 
0.078061	 3.455690	 3 
1.262053	 2.395341	 3 
-0.004997	 1.337401	 3 
-0.417507	 1.646658	 3 
0.693198	 1.810453	 3 
0.739174	 3.252750	 1 
-0.532947	 1.102746	 3 
1.583827	 2.524502	 3 
3.542972	 4.720296	 1 
2.688055	 -0.284848	 2 
-0.541385	 0.836027	 3 
3.179931	 2.528539	 1 
-1.490542	 -1.116966	 2 
1.320363	 -0.778551	 2 
2.545475	 2.069617	 1 
4.427454	 -1.533612	 2 
